CD_GEOCMU;NM_MUNICIP;BIOMA
4300471;ALMIRANTE TAMANDARÉ DO SUL;Pampa
5200506;ALOÂNDIA;Cerrado
3101805;ALPERCATA;Mata Atlântica
4300505;ALPESTRE;Mata Atlântica
3101904;ALPINÓPOLIS;Cerrado
3101904;ALPINÓPOLIS;Mata Atlântica
5100250;ALTA FLORESTA;Amazônia
1100015;ALTA FLORESTA D'OESTE;Amazônia
3500907;ALTAIR;Cerrado
3500907;ALTAIR;Mata Atlântica
1500602;ALTAMIRA;Amazônia
2100402;ALTAMIRA DO MARANHÃO;Amazônia
4100459;ALTAMIRA DO PARANÁ;Mata Atlântica
2300606;ALTANEIRA;Caatinga
3102001;ALTEROSA;Mata Atlântica
2600807;ALTINHO;Caatinga
2600807;ALTINHO;Mata Atlântica
3501004;ALTINÓPOLIS;Cerrado
3501004;ALTINÓPOLIS;Mata Atlântica
4300554;ALTO ALEGRE;Mata Atlântica
1400050;ALTO ALEGRE;Amazônia
3501103;ALTO ALEGRE;Mata Atlântica
2100436;ALTO ALEGRE DO MARANHÃO;Cerrado
2100477;ALTO ALEGRE DO PINDARÉ;Amazônia
1100379;ALTO ALEGRE DOS PARECIS;Amazônia
5100300;ALTO ARAGUAIA;Cerrado
4200754;ALTO BELA VISTA;Mata Atlântica
5100359;ALTO BOA VISTA;Amazônia
5100359;ALTO BOA VISTA;Cerrado
3102050;ALTO CAPARAÓ;Mata Atlântica
2400703;ALTO DO RODRIGUES;Caatinga
4300570;ALTO FELIZ;Mata Atlântica
5100409;ALTO GARÇAS;Cerrado
5200555;ALTO HORIZONTE;Cerrado
3153509;ALTO JEQUITIBÁ;Mata Atlântica
2200301;ALTO LONGÁ;Cerrado
5100508;ALTO PARAGUAI;Amazônia
5100508;ALTO PARAGUAI;Cerrado
4128625;ALTO PARAÍSO;Mata Atlântica
1100403;ALTO PARAÍSO;Amazônia
5200605;ALTO PARAÍSO DE GOIÁS;Cerrado
4100608;ALTO PARANÁ;Mata Atlântica
2100501;ALTO PARNAÍBA;Cerrado
4100707;ALTO PIQUIRI;Mata Atlântica
3102100;ALTO RIO DOCE;Mata Atlântica
3200359;ALTO RIO NOVO;Mata Atlântica
2300705;ALTO SANTO;Caatinga
5100607;ALTO TAQUARI;Cerrado
4100509;ALTÔNIA;Mata Atlântica
2200400;ALTOS;Cerrado
3501152;ALUMÍNIO;Mata Atlântica
1300029;ALVARÃES;Amazônia
3102209;ALVARENGA;Mata Atlântica
3501202;ÁLVARES FLORENCE;Cerrado
3501202;ÁLVARES FLORENCE;Mata Atlântica
3501301;ÁLVARES MACHADO;Mata Atlântica
3501400;ÁLVARO DE CARVALHO;Mata Atlântica
3501509;ALVINLÂNDIA;Cerrado
3501509;ALVINLÂNDIA;Mata Atlântica
3102308;ALVINÓPOLIS;Mata Atlântica
1700707;ALVORADA;Cerrado
4300604;ALVORADA;Pampa
1100346;ALVORADA D'OESTE;Amazônia
3102407;ALVORADA DE MINAS;Mata Atlântica
2200459;ALVORADA DO GURGUÉIA;Caatinga
2200459;ALVORADA DO GURGUÉIA;Cerrado
5200803;ALVORADA DO NORTE;Cerrado
4100806;ALVORADA DO SUL;Mata Atlântica
1400027;AMAJARI;Amazônia
5000609;AMAMBAI;Cerrado
5000609;AMAMBAI;Mata Atlântica
1600105;AMAPÁ;Amazônia
2100550;AMAPÁ DO MARANHÃO;Amazônia
4100905;AMAPORÃ;Mata Atlântica
2600906;AMARAJI;Mata Atlântica
4300638;AMARAL FERRADOR;Pampa
5200829;AMARALINA;Cerrado
