CD_GEOCMU;NM_MUNICIP;BIOMA
3510708;CARDOSO;Cerrado
3510708;CARDOSO;Mata Atlântica
3301157;CARDOSO MOREIRA;Mata Atlântica
3113602;CAREAÇU;Mata Atlântica
1301100;CAREIRO;Amazônia
1301159;CAREIRO DA VÁRZEA;Amazônia
3201308;CARIACICA;Mata Atlântica
2303006;CARIDADE;Caatinga
2202554;CARIDADE DO PIAUÍ;Caatinga
2907103;CARINHANHA;Caatinga
2801405;CARIRA;Caatinga
2303105;CARIRÉ;Caatinga
1703867;CARIRI DO TOCANTINS;Cerrado
2303204;CARIRIAÇU;Caatinga
2303303;CARIÚS;Caatinga
5102793;CARLINDA;Amazônia
4104709;CARLÓPOLIS;Mata Atlântica
4304804;CARLOS BARBOSA;Mata Atlântica
3113701;CARLOS CHAGAS;Mata Atlântica
4304853;CARLOS GOMES;Mata Atlântica
3113800;CARMÉSIA;Mata Atlântica
3301207;CARMO;Mata Atlântica
3113909;CARMO DA CACHOEIRA;Mata Atlântica
3114006;CARMO DA MATA;Cerrado
3114006;CARMO DA MATA;Mata Atlântica
3114105;CARMO DE MINAS;Mata Atlântica
3114204;CARMO DO CAJURU;Cerrado
3114204;CARMO DO CAJURU;Mata Atlântica
3114303;CARMO DO PARANAÍBA;Cerrado
3114402;CARMO DO RIO CLARO;Cerrado
3114402;CARMO DO RIO CLARO;Mata Atlântica
5205000;CARMO DO RIO VERDE;Cerrado
1703883;CARMOLÂNDIA;Amazônia
2801504;CARMÓPOLIS;Mata Atlântica
3114501;CARMÓPOLIS DE MINAS;Mata Atlântica
2603900;CARNAÍBA;Caatinga
2402402;CARNAÚBA DOS DANTAS;Caatinga
2402501;CARNAUBAIS;Caatinga
2303402;CARNAUBAL;Caatinga
2603926;CARNAUBEIRA DA PENHA;Caatinga
3114550;CARNEIRINHO;Cerrado
3114550;CARNEIRINHO;Mata Atlântica
2701803;CARNEIROS;Caatinga
1400233;CAROEBE;Amazônia
2102804;CAROLINA;Cerrado
2604007;CARPINA;Mata Atlântica
3114600;CARRANCAS;Mata Atlântica
2504108;CARRAPATEIRA;Caatinga
1703891;CARRASCO BONITO;Amazônia
2604106;CARUARU;Caatinga
2604106;CARUARU;Mata Atlântica
2102903;CARUTAPERA;Amazônia
2102903;CARUTAPERA;Amazônia
2102903;CARUTAPERA;Amazônia
2102903;CARUTAPERA;Amazônia
2102903;CARUTAPERA;Amazônia
3114709;CARVALHÓPOLIS;Mata Atlântica
3114808;CARVALHOS;Mata Atlântica
3510807;CASA BRANCA;Cerrado
3510807;CASA BRANCA;Mata Atlântica
3114907;CASA GRANDE;Mata Atlântica
2907202;CASA NOVA;Caatinga
4304903;CASCA;Mata Atlântica
3115003;CASCALHO RICO;Cerrado
2303501;CASCAVEL;Caatinga
4104808;CASCAVEL;Mata Atlântica
1703909;CASEARA;Cerrado
4304952;CASEIROS;Mata Atlântica
3301306;CASIMIRO DE ABREU;Mata Atlântica
2604155;CASINHAS;Caatinga
2604155;CASINHAS;Mata Atlântica
2504157;CASSERENGUE;Caatinga
3115102;CÁSSIA;Cerrado
3115102;CÁSSIA;Mata Atlântica
3510906;CÁSSIA DOS COQUEIROS;Cerrado
3510906;CÁSSIA DOS COQUEIROS;Mata Atlântica
5002902;CASSILÂNDIA;Cerrado
1502400;CASTANHAL;Amazônia
5102850;CASTANHEIRA;Amazônia
1100908;CASTANHEIRAS;Amazônia
5205059;CASTELÂNDIA;Cerrado
3201407;CASTELO;Mata Atlântica
2202604;CASTELO DO PIAUÍ;Caatinga
2202604;CASTELO DO PIAUÍ;Cerrado
3511003;CASTILHO;Mata Atlântica
4104907;CASTRO;Cerrado
4104907;CASTRO;Mata Atlântica
2907301;CASTRO ALVES;Caatinga
2907301;CASTRO ALVES;Mata Atlântica
3115300;CATAGUASES;Mata Atlântica
5205109;CATALÃO;Cerrado
3511102;CATANDUVA;Mata Atlântica
4105003;CATANDUVAS;Mata Atlântica
4204004;CATANDUVAS;Mata Atlântica
2303600;CATARINA;Caatinga
3115359;CATAS ALTAS;Mata Atlântica
3115409;CATAS ALTAS DA NORUEGA;Mata Atlântica
2604205;CATENDE;Caatinga
2604205;CATENDE;Mata Atlântica
3511201;CATIGUÁ;Mata Atlântica
2504207;CATINGUEIRA;Caatinga
2907400;CATOLÂNDIA;Cerrado
2504306;CATOLÉ DO ROCHA;Caatinga
2907509;CATU;Mata Atlântica
4305009;CATUÍPE;Mata Atlântica
4305009;CATUÍPE;Pampa
3115458;CATUJI;Mata Atlântica
2303659;CATUNDA;Caatinga
5205208;CATURAÍ;Cerrado
2907558;CATURAMA;Caatinga
2504355;CATURITÉ;Caatinga
3115474;CATUTI;Caatinga
2303709;CAUCAIA;Caatinga
5205307;CAVALCANTE;Cerrado
3115508;CAXAMBU;Mata Atlântica
4204103;CAXAMBU DO SUL;Mata Atlântica
2103000;CAXIAS;Cerrado
4305108;CAXIAS DO SUL;Mata Atlântica
2202653;CAXINGÓ;Cerrado
2402600;CEARÁ-MIRIM;Caatinga
2402600;CEARÁ-MIRIM;Mata Atlântica
3511300;CEDRAL;Mata Atlântica
2103109;CEDRAL;Amazônia
2303808;CEDRO;Caatinga
2604304;CEDRO;Caatinga
2801603;CEDRO DE SÃO JOÃO;Caatinga
2801603;CEDRO DE SÃO JOÃO;Mata Atlântica
3115607;CEDRO DO ABAETÉ;Cerrado
4204152;CELSO RAMOS;Mata Atlântica
1704105;CENTENÁRIO;Cerrado
4305116;CENTENÁRIO;Mata Atlântica
4105102;CENTENÁRIO DO SUL;Mata Atlântica
2907608;CENTRAL;Caatinga
3115706;CENTRAL DE MINAS;Mata Atlântica
2103125;CENTRAL DO MARANHÃO;Amazônia
3115805;CENTRALINA;Cerrado
3115805;CENTRALINA;Mata Atlântica
2103158;CENTRO DO GUILHERME;Amazônia
2103174;CENTRO NOVO DO MARANHÃO;Amazônia
1100056;CEREJEIRAS;Amazônia
5205406;CERES;Cerrado
3511409;CERQUEIRA CÉSAR;Cerrado
3511409;CERQUEIRA CÉSAR;Mata Atlântica
3511508;CERQUILHO;Mata Atlântica
4305124;CERRITO;Pampa
4105201;CERRO AZUL;Mata Atlântica
4305132;CERRO BRANCO;Mata Atlântica
4305132;CERRO BRANCO;Pampa
2402709;CERRO CORÁ;Caatinga
4305157;CERRO GRANDE;Mata Atlântica
4305173;CERRO GRANDE DO SUL;Pampa
4305207;CERRO LARGO;Mata Atlântica
4204178;CERRO NEGRO;Mata Atlântica
3511607;CESÁRIO LANGE;Mata Atlântica
4105300;CÉU AZUL;Mata Atlântica
5205455;CEZARINA;Cerrado
2604403;CHÃ DE ALEGRIA;Mata Atlântica
2604502;CHÃ GRANDE;Caatinga
2604502;CHÃ GRANDE;Mata Atlântica
2701902;CHÃ PRETA;Mata Atlântica
3115904;CHÁCARA;Mata Atlântica
3116001;CHALÉ;Mata Atlântica
4305306;CHAPADA;Mata Atlântica
4305306;CHAPADA;Pampa
1705102;CHAPADA DA NATIVIDADE;Cerrado
1704600;CHAPADA DE AREIA;Cerrado
3116100;CHAPADA DO NORTE;Cerrado
3116100;CHAPADA DO NORTE;Mata Atlântica
5103007;CHAPADA DOS GUIMARÃES;Cerrado
3116159;CHAPADA GAÚCHA;Cerrado
5205471;CHAPADÃO DO CÉU;Cerrado
4204194;CHAPADÃO DO LAGEADO;Mata Atlântica
5002951;CHAPADÃO DO SUL;Cerrado
2103208;CHAPADINHA;Cerrado
4204202;CHAPECÓ;Mata Atlântica
3511706;CHARQUEADA;Cerrado
3511706;CHARQUEADA;Mata Atlântica
4305355;CHARQUEADAS;Pampa
4305371;CHARRUA;Mata Atlântica
2303907;CHAVAL;Caatinga
3557204;CHAVANTES;Mata Atlântica
1502509;CHAVES;Amazônia
1502509;CHAVES;Amazônia
1502509;CHAVES;Amazônia
1502509;CHAVES;Amazônia
3116209;CHIADOR;Mata Atlântica
4305405;CHIAPETTA;Mata Atlântica
4305405;CHIAPETTA;Pampa
4105409;CHOPINZINHO;Mata Atlântica
2303956;CHOROZINHO;Caatinga
2303931;CHORÓ;Caatinga
2907707;CHORROCHÓ;Caatinga
4305439;CHUÍ;Pampa
1100924;CHUPINGUAIA;Amazônia
4305447;CHUVISCA;Pampa
4105508;CIANORTE;Mata Atlântica
2907806;CÍCERO DANTAS;Caatinga
4105607;CIDADE GAÚCHA;Mata Atlântica
5205497;CIDADE OCIDENTAL;Cerrado
2103257;CIDELÂNDIA;Amazônia
2103257;CIDELÂNDIA;Cerrado
4305454;CIDREIRA;Pampa
3116308;CIPOTÂNEA;Mata Atlântica
2907905;CIPÓ;Caatinga
4305504;CIRÍACO;Mata Atlântica
3116407;CLARAVAL;Cerrado
3116407;CLARAVAL;Mata Atlântica
3116506;CLARO DOS POÇÕES;Cerrado
5103056;CLÁUDIA;Amazônia
3116605;CLÁUDIO;Cerrado
3116605;CLÁUDIO;Mata Atlântica
3511904;CLEMENTINA;Mata Atlântica
4105706;CLEVELÂNDIA;Mata Atlântica
2908002;COARACI;Mata Atlântica
1301209;COARI;Amazônia
2202703;COCAL;Caatinga
2202703;COCAL;Cerrado
2202711;COCAL DE TELHA;Cerrado
4204251;COCAL DO SUL;Mata Atlântica
2202729;COCAL DOS ALVES;Caatinga
2202729;COCAL DOS ALVES;Cerrado
5103106;COCALINHO;Cerrado
5205513;COCALZINHO DE GOIÁS;Cerrado
2908101;COCOS;Caatinga
2908101;COCOS;Cerrado
1301308;CODAJÁS;Amazônia
2103307;CODÓ;Cerrado
2103406;COELHO NETO;Cerrado
3116704;COIMBRA;Mata Atlântica
2702009;COITÉ DO NÓIA;Caatinga
2202737;COIVARAS;Cerrado
1502608;COLARES;Amazônia
3201506;COLATINA;Mata Atlântica
5103205;COLÍDER;Amazônia
3512001;COLINA;Cerrado
3512001;COLINA;Mata Atlântica
2103505;COLINAS;Cerrado
4305587;COLINAS;Mata Atlântica
5205521;COLINAS DO SUL;Cerrado
1705508;COLINAS DO TOCANTINS;Amazônia
1705508;COLINAS DO TOCANTINS;Cerrado
1716703;COLMÉIA;Amazônia
1716703;COLMÉIA;Cerrado
5103254;COLNIZA;Amazônia
3512100;COLÔMBIA;Cerrado
3512100;COLÔMBIA;Mata Atlântica
4105805;COLOMBO;Mata Atlântica
2202752;COLÔNIA DO GURGUÉIA;Caatinga
2202752;COLÔNIA DO GURGUÉIA;Cerrado
2202778;COLÔNIA DO PIAUÍ;Caatinga
2702108;COLÔNIA LEOPOLDINA;Mata Atlântica
4305603;COLORADO;Mata Atlântica
4305603;COLORADO;Pampa
4105904;COLORADO;Mata Atlântica
1100064;COLORADO DO OESTE;Amazônia
3116803;COLUNA;Mata Atlântica
1705557;COMBINADO;Cerrado
3116902;COMENDADOR GOMES;Cerrado
3300951;COMENDADOR LEVY GASPARIAN;Mata Atlântica
3117009;COMERCINHO;Mata Atlântica
5103304;COMODORO;Amazônia
5103304;COMODORO;Cerrado
2504405;CONCEIÇÃO;Caatinga
3117108;CONCEIÇÃO DA APARECIDA;Mata Atlântica
3201605;CONCEIÇÃO DA BARRA;Mata Atlântica
3115201;CONCEIÇÃO DA BARRA DE MINAS;Mata Atlântica
2908200;CONCEIÇÃO DA FEIRA;Mata Atlântica
3117306;CONCEIÇÃO DAS ALAGOAS;Cerrado
3117306;CONCEIÇÃO DAS ALAGOAS;Mata Atlântica
3117207;CONCEIÇÃO DAS PEDRAS;Mata Atlântica
3117405;CONCEIÇÃO DE IPANEMA;Mata Atlântica
3301405;CONCEIÇÃO DE MACABU;Mata Atlântica
2908309;CONCEIÇÃO DO ALMEIDA;Mata Atlântica
1502707;CONCEIÇÃO DO ARAGUAIA;Amazônia
1502707;CONCEIÇÃO DO ARAGUAIA;Cerrado
2202802;CONCEIÇÃO DO CANINDÉ;Caatinga
3201704;CONCEIÇÃO DO CASTELO;Mata Atlântica
2908408;CONCEIÇÃO DO COITÉ;Caatinga
2908507;CONCEIÇÃO DO JACUÍPE;Caatinga
2908507;CONCEIÇÃO DO JACUÍPE;Mata Atlântica
2103554;CONCEIÇÃO DO LAGO-AÇU;Amazônia
3117504;CONCEIÇÃO DO MATO DENTRO;Cerrado
3117504;CONCEIÇÃO DO MATO DENTRO;Mata Atlântica
3117603;CONCEIÇÃO DO PARÁ;Cerrado
3117603;CONCEIÇÃO DO PARÁ;Mata Atlântica
3117702;CONCEIÇÃO DO RIO VERDE;Mata Atlântica
1705607;CONCEIÇÃO DO TOCANTINS;Cerrado
3117801;CONCEIÇÃO DOS OUROS;Mata Atlântica
3512209;CONCHAL;Cerrado
3512209;CONCHAL;Mata Atlântica
3512308;CONCHAS;Cerrado
3512308;CONCHAS;Mata Atlântica
4204301;CONCÓRDIA;Mata Atlântica
1502756;CONCÓRDIA DO PARÁ;Amazônia
2604601;CONDADO;Mata Atlântica
2504504;CONDADO;Caatinga
2908606;CONDE;Mata Atlântica
2504603;CONDE;Mata Atlântica
2908705;CONDEÚBA;Caatinga
2908705;CONDEÚBA;Cerrado
4305702;CONDOR;Mata Atlântica
4305702;CONDOR;Pampa
3117836;CÔNEGO MARINHO;Caatinga
3117836;CÔNEGO MARINHO;Cerrado
3117876;CONFINS;Cerrado
5103353;CONFRESA;Amazônia
5103353;CONFRESA;Cerrado
2504702;CONGO;Caatinga
3117900;CONGONHAL;Mata Atlântica
3118007;CONGONHAS;Mata Atlântica
3118106;CONGONHAS DO NORTE;Cerrado
3118106;CONGONHAS DO NORTE;Mata Atlântica
4106001;CONGONHINHAS;Mata Atlântica
3118205;CONQUISTA;Cerrado
3118205;CONQUISTA;Mata Atlântica
5103361;CONQUISTA D'OESTE;Amazônia
5103361;CONQUISTA D'OESTE;Cerrado
3118304;CONSELHEIRO LAFAIETE;Mata Atlântica
4106100;CONSELHEIRO MAIRINCK;Mata Atlântica
3118403;CONSELHEIRO PENA;Mata Atlântica
3118502;CONSOLAÇÃO;Mata Atlântica
4305801;CONSTANTINA;Mata Atlântica
3118601;CONTAGEM;Cerrado
3118601;CONTAGEM;Mata Atlântica
4106209;CONTENDA;Mata Atlântica
2908804;CONTENDAS DO SINCORÁ;Caatinga
3118700;COQUEIRAL;Cerrado
3118700;COQUEIRAL;Mata Atlântica
4305835;COQUEIRO BAIXO;Mata Atlântica
2702207;COQUEIRO SECO;Mata Atlântica
4305850;COQUEIROS DO SUL;Mata Atlântica
4305850;COQUEIROS DO SUL;Pampa
3118809;CORAÇÃO DE JESUS;Cerrado
2908903;CORAÇÃO DE MARIA;Caatinga
2908903;CORAÇÃO DE MARIA;Mata Atlântica
4106308;CORBÉLIA;Mata Atlântica
3301504;CORDEIRO;Mata Atlântica
3512407;CORDEIRÓPOLIS;Mata Atlântica
2909000;CORDEIROS;Caatinga
2909000;CORDEIROS;Cerrado
4204350;CORDILHEIRA ALTA;Mata Atlântica
3118908;CORDISBURGO;Cerrado
3119005;CORDISLÂNDIA;Mata Atlântica
2304004;COREAÚ;Caatinga
2504801;COREMAS;Caatinga
5003108;CORGUINHO;Cerrado
2909109;CORIBE;Caatinga
2909109;CORIBE;Cerrado
3119104;CORINTO;Cerrado
4106407;CORNÉLIO PROCÓPIO;Mata Atlântica
3119203;COROACI;Mata Atlântica
3512506;COROADOS;Mata Atlântica
2103604;COROATÁ;Cerrado
3119302;COROMANDEL;Cerrado
4305871;CORONEL BARROS;Mata Atlântica
4305871;CORONEL BARROS;Pampa
4305900;CORONEL BICACO;Mata Atlântica
4305900;CORONEL BICACO;Pampa
4106456;CORONEL DOMINGOS SOARES;Mata Atlântica
2402808;CORONEL EZEQUIEL;Caatinga
3119401;CORONEL FABRICIANO;Mata Atlântica
4204400;CORONEL FREITAS;Mata Atlântica
2402907;CORONEL JOÃO PESSOA;Caatinga
2909208;CORONEL JOÃO SÁ;Caatinga
2202851;CORONEL JOSÉ DIAS;Caatinga
3512605;CORONEL MACEDO;Cerrado
3512605;CORONEL MACEDO;Mata Atlântica
4204459;CORONEL MARTINS;Mata Atlântica
3119500;CORONEL MURTA;Cerrado
3119500;CORONEL MURTA;Mata Atlântica
3119609;CORONEL PACHECO;Mata Atlântica
4305934;CORONEL PILAR;Mata Atlântica
5003157;CORONEL SAPUCAIA;Cerrado
5003157;CORONEL SAPUCAIA;Mata Atlântica
4106506;CORONEL VIVIDA;Mata Atlântica
3119708;CORONEL XAVIER CHAVES;Mata Atlântica
3119807;CÓRREGO DANTA;Cerrado
3119906;CÓRREGO DO BOM JESUS;Mata Atlântica
5205703;CÓRREGO DO OURO;Cerrado
3119955;CÓRREGO FUNDO;Cerrado
3119955;CÓRREGO FUNDO;Mata Atlântica
3120003;CÓRREGO NOVO;Mata Atlântica
4204558;CORREIA PINTO;Mata Atlântica
2202901;CORRENTE;Caatinga
2202901;CORRENTE;Cerrado
2604700;CORRENTES;Mata Atlântica
2909307;CORRENTINA;Caatinga
2909307;CORRENTINA;Cerrado
2604809;CORTÊS;Mata Atlântica
5003207;CORUMBÁ;Cerrado
5003207;CORUMBÁ;Pantanal
5205802;CORUMBÁ DE GOIÁS;Cerrado
5205901;CORUMBAÍBA;Cerrado
5205901;CORUMBAÍBA;Mata Atlântica
3512704;CORUMBATAÍ;Cerrado
3512704;CORUMBATAÍ;Mata Atlântica
4106555;CORUMBATAÍ DO SUL;Mata Atlântica
1100072;CORUMBIARA;Amazônia
4204509;CORUPÁ;Mata Atlântica
2702306;CORURIPE;Mata Atlântica
3512803;COSMÓPOLIS;Mata Atlântica
3512902;COSMORAMA;Cerrado
3512902;COSMORAMA;Mata Atlântica
1100080;COSTA MARQUES;Amazônia
5003256;COSTA RICA;Cerrado
2909406;COTEGIPE;Caatinga
2909406;COTEGIPE;Cerrado
3513009;COTIA;Mata Atlântica
4305959;COTIPORÃ;Mata Atlântica
5103379;COTRIGUAÇU;Amazônia
3120102;COUTO DE MAGALHÃES DE MINAS;Cerrado
3120102;COUTO DE MAGALHÃES DE MINAS;Mata Atlântica
1706001;COUTO MAGALHÃES;Amazônia
1706001;COUTO MAGALHÃES;Cerrado
4305975;COXILHA;Mata Atlântica
4305975;COXILHA;Pampa
5003306;COXIM;Cerrado
5003306;COXIM;Pantanal
2504850;COXIXOLA;Caatinga
2702355;CRAÍBAS;Caatinga
2304103;CRATEÚS;Caatinga
2304202;CRATO;Caatinga
3513108;CRAVINHOS;Cerrado
3513108;CRAVINHOS;Mata Atlântica
2909505;CRAVOLÂNDIA;Mata Atlântica
4204608;CRICIÚMA;Mata Atlântica
3120151;CRISÓLITA;Mata Atlântica
2909604;CRISÓPOLIS;Caatinga
4306007;CRISSIUMAL;Mata Atlântica
3120201;CRISTAIS;Cerrado
3120201;CRISTAIS;Mata Atlântica
3513207;CRISTAIS PAULISTA;Cerrado
3513207;CRISTAIS PAULISTA;Mata Atlântica
4306056;CRISTAL;Pampa
4306072;CRISTAL DO SUL;Mata Atlântica
1706100;CRISTALÂNDIA;Cerrado
2203008;CRISTALÂNDIA DO PIAUÍ;Caatinga
2203008;CRISTALÂNDIA DO PIAUÍ;Cerrado
3120300;CRISTÁLIA;Cerrado
5206206;CRISTALINA;Cerrado
3120409;CRISTIANO OTONI;Mata Atlântica
5206305;CRISTIANÓPOLIS;Cerrado
3120508;CRISTINA;Mata Atlântica
2801702;CRISTINÁPOLIS;Mata Atlântica
2203107;CRISTINO CASTRO;Caatinga
2203107;CRISTINO CASTRO;Cerrado
2909703;CRISTÓPOLIS;Caatinga
2909703;CRISTÓPOLIS;Cerrado
5206404;CRIXÁS;Cerrado
1706258;CRIXÁS DO TOCANTINS;Cerrado
2304236;CROATÁ;Caatinga
5206503;CROMÍNIA;Cerrado
3120607;CRUCILÂNDIA;Mata Atlântica
2304251;CRUZ;Caatinga
4306106;CRUZ ALTA;Mata Atlântica
4306106;CRUZ ALTA;Pampa
2909802;CRUZ DAS ALMAS;Mata Atlântica
2504900;CRUZ DO ESPÍRITO SANTO;Caatinga
2504900;CRUZ DO ESPÍRITO SANTO;Mata Atlântica
4106803;CRUZ MACHADO;Mata Atlântica
3513306;CRUZÁLIA;Mata Atlântica
4306130;CRUZALTENSE;Mata Atlântica
4306130;CRUZALTENSE;Pampa
3513405;CRUZEIRO;Mata Atlântica
3120706;CRUZEIRO DA FORTALEZA;Cerrado
4106571;CRUZEIRO DO IGUAÇU;Mata Atlântica
4106605;CRUZEIRO DO OESTE;Mata Atlântica
4106704;CRUZEIRO DO SUL;Mata Atlântica
1200203;CRUZEIRO DO SUL;Amazônia
4306205;CRUZEIRO DO SUL;Mata Atlântica
2403004;CRUZETA;Caatinga
3120805;CRUZÍLIA;Mata Atlântica
4106852;CRUZMALTINA;Mata Atlântica
3513504;CUBATÃO;Mata Atlântica
2505006;CUBATI;Caatinga
5103403;CUIABÁ;Cerrado
2505105;CUITÉ;Caatinga
2505238;CUITÉ DE MAMANGUAPE;Caatinga
2505238;CUITÉ DE MAMANGUAPE;Mata Atlântica
2505204;CUITEGI;Caatinga
1100940;CUJUBIM;Amazônia
5206602;CUMARI;Cerrado
5206602;CUMARI;Mata Atlântica
2604908;CUMARU;Caatinga
1502764;CUMARU DO NORTE;Amazônia
2801900;CUMBE;Caatinga
2801900;CUMBE;Mata Atlântica
3513603;CUNHA;Mata Atlântica
4204707;CUNHA PORÃ;Mata Atlântica
4204756;CUNHATAÍ;Mata Atlântica
3120839;CUPARAQUE;Mata Atlântica
2605004;CUPIRA;Caatinga
2605004;CUPIRA;Mata Atlântica
2909901;CURAÇÁ;Caatinga
2203206;CURIMATÁ;Caatinga
2203206;CURIMATÁ;Cerrado
1502772;CURIONÓPOLIS;Amazônia
4106902;CURITIBA;Mata Atlântica
4204806;CURITIBANOS;Mata Atlântica
4107009;CURIÚVA;Mata Atlântica
2203230;CURRAIS;Cerrado
2403103;CURRAIS NOVOS;Caatinga
2505279;CURRAL DE CIMA;Caatinga
3120870;CURRAL DE DENTRO;Cerrado
3120870;CURRAL DE DENTRO;Mata Atlântica
2203271;CURRAL NOVO DO PIAUÍ;Caatinga
2505303;CURRAL VELHO;Caatinga
1502806;CURRALINHO;Amazônia
2203255;CURRALINHOS;Cerrado
1502855;CURUÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
1502905;CURUÇÁ;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
2103703;CURURUPU;Amazônia
5103437;CURVELÂNDIA;Amazônia
5103437;CURVELÂNDIA;Pantanal
3120904;CURVELO;Cerrado
2605103;CUSTÓDIA;Caatinga
1600212;CUTIAS;Amazônia
5206701;DAMIANÓPOLIS;Cerrado
2505352;DAMIÃO;Caatinga
5206800;DAMOLÂNDIA;Cerrado
1706506;DARCINÓPOLIS;Amazônia
1706506;DARCINÓPOLIS;Cerrado
2910008;DÁRIO MEIRA;Mata Atlântica
3121001;DATAS;Cerrado
3121001;DATAS;Mata Atlântica
4306304;DAVID CANABARRO;Mata Atlântica
2103752;DAVINÓPOLIS;Cerrado
5206909;DAVINÓPOLIS;Cerrado
3121100;DELFIM MOREIRA;Mata Atlântica
3121209;DELFINÓPOLIS;Cerrado
2702405;DELMIRO GOUVEIA;Caatinga
3121258;DELTA;Mata Atlântica
2203305;DEMERVAL LOBÃO;Cerrado
5103452;DENISE;Amazônia
5103452;DENISE;Cerrado
5003454;DEODÁPOLIS;Mata Atlântica
2304269;DEPUTADO IRAPUAN PINHEIRO;Caatinga
4306320;DERRUBADAS;Mata Atlântica
3513702;DESCALVADO;Cerrado
3513702;DESCALVADO;Mata Atlântica
4204905;DESCANSO;Mata Atlântica
3121308;DESCOBERTO;Mata Atlântica
2505402;DESTERRO;Caatinga
3121407;DESTERRO DE ENTRE RIOS;Mata Atlântica
3121506;DESTERRO DO MELO;Mata Atlântica
4306353;DEZESSEIS DE NOVEMBRO;Mata Atlântica
4306353;DEZESSEIS DE NOVEMBRO;Pampa
3513801;DIADEMA;Mata Atlântica
2505600;DIAMANTE;Caatinga
4107157;DIAMANTE D'OESTE;Mata Atlântica
4107108;DIAMANTE DO NORTE;Mata Atlântica
4107124;DIAMANTE DO SUL;Mata Atlântica
3121605;DIAMANTINA;Cerrado
5103502;DIAMANTINO;Amazônia
5103502;DIAMANTINO;Cerrado
1707009;DIANÓPOLIS;Cerrado
2910057;DIAS D'ÁVILA;Mata Atlântica
4306379;DILERMANDO DE AGUIAR;Pampa
3121704;DIOGO DE VASCONCELOS;Mata Atlântica
3121803;DIONÍSIO;Mata Atlântica
4205001;DIONÍSIO CERQUEIRA;Mata Atlântica
5207105;DIORAMA;Cerrado
3513850;DIRCE REIS;Mata Atlântica
2203354;DIRCEU ARCOVERDE;Caatinga
2802007;DIVINA PASTORA;Mata Atlântica
3121902;DIVINÉSIA;Mata Atlântica
3122009;DIVINO;Mata Atlântica
3122108;DIVINO DAS LARANJEIRAS;Mata Atlântica
3201803;DIVINO DE SÃO LOURENÇO;Mata Atlântica
3513900;DIVINOLÂNDIA;Mata Atlântica
3122207;DIVINOLÂNDIA DE MINAS;Mata Atlântica
3122306;DIVINÓPOLIS;Cerrado
3122306;DIVINÓPOLIS;Mata Atlântica
5208301;DIVINÓPOLIS DE GOIÁS;Cerrado
1707108;DIVINÓPOLIS DO TOCANTINS;Cerrado
3122355;DIVISA ALEGRE;Mata Atlântica
3122405;DIVISA NOVA;Mata Atlântica
3122454;DIVISÓPOLIS;Mata Atlântica
3514007;DOBRADA;Mata Atlântica
3514106;DOIS CÓRREGOS;Cerrado
3514106;DOIS CÓRREGOS;Mata Atlântica
4306403;DOIS IRMÃOS;Mata Atlântica
4306429;DOIS IRMÃOS DAS MISSÕES;Mata Atlântica
4306429;DOIS IRMÃOS DAS MISSÕES;Pampa
5003488;DOIS IRMÃOS DO BURITI;Cerrado
1707207;DOIS IRMÃOS DO TOCANTINS;Amazônia
1707207;DOIS IRMÃOS DO TOCANTINS;Cerrado
4306452;DOIS LAJEADOS;Mata Atlântica
2702504;DOIS RIACHOS;Caatinga
4107207;DOIS VIZINHOS;Mata Atlântica
3514205;DOLCINÓPOLIS;Mata Atlântica
5103601;DOM AQUINO;Cerrado
2910107;DOM BASÍLIO;Caatinga
3122470;DOM BOSCO;Cerrado
3122504;DOM CAVATI;Mata Atlântica
1502939;DOM ELISEU;Amazônia
2203404;DOM EXPEDITO LOPES;Caatinga
4306502;DOM FELICIANO;Pampa
2203453;DOM INOCÊNCIO;Caatinga
3122603;DOM JOAQUIM;Mata Atlântica
2910206;DOM MACEDO COSTA;Mata Atlântica
4306601;DOM PEDRITO;Pampa
2103802;DOM PEDRO;Cerrado
4306551;DOM PEDRO DE ALCÂNTARA;Mata Atlântica
3122702;DOM SILVÉRIO;Mata Atlântica
3122801;DOM VIÇOSO;Mata Atlântica
3201902;DOMINGOS MARTINS;Mata Atlântica
2203420;DOMINGOS MOURÃO;Caatinga
4205100;DONA EMMA;Mata Atlântica
3122900;DONA EUSÉBIA;Mata Atlântica
